"Name","val_accuracy.max","epoch","State","Notes","User","Tags","Created","Runtime","Sweep","arch","beam_width","beta1","beta2","bidirectional","decoder_layers","dropout","embedding_size","encoder_layers","end_idx","features_attention_heads","features_vocab_size","hidden_size","label_smoothing","learning_rate","local_run_dir","max_source_length","max_target_length","optimizer","output_size","pad_idx","scheduler","scheduler_kwargs/check_val_every_n_epoch","scheduler_kwargs/end_factor","scheduler_kwargs/min_learning_rate","scheduler_kwargs/reduceonplateau_factor","scheduler_kwargs/reduceonplateau_mode","scheduler_kwargs/reduceonplateau_patience","scheduler_kwargs/start_factor","scheduler_kwargs/total_decay_steps","scheduler_kwargs/warmup_steps","source_attention_heads","source_encoder_cls","source_vocab_size","start_idx","target_vocab_size","teacher_forcing","lr-Adam","train_loss","trainer/global_step","val_loss"
"portuguese","0.9929999709129332","799","finished","-","adamits","","2023-12-18T02:08:07.000Z","3116","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","26","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_24","128","128","adam","43","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","64","2","43","true","0.000447493366309618","0.687675952911377","19999","0.7060245275497437"
"quechua","1","799","finished","-","adamits","","2023-12-18T02:49:58.000Z","3207","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","50","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_30","128","128","adam","27","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","77","2","27","true","0.000447493366309618","0.6321871876716614","19999","0.6405357122421265"
"romanian","0.8980000019073486","799","finished","-","adamits","","2023-12-18T02:14:38.000Z","3134","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","34","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_26","128","128","adam","66","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","91","2","66","true","0.000447493366309618","0.7385536432266235","19999","0.9720734357833862"
"russian","0.9350000023841858","799","finished","-","adamits","","2023-12-18T02:30:34.000Z","3576","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_27","128","128","adam","58","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","91","2","58","true","0.000447493366309618","0.7239757776260376","19999","0.9474279880523682"
"scottish-gaelic","0.8999999761581421","799","finished","-","adamits","","2023-12-18T03:59:20.000Z","501","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","21","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_44","128","128","adam","35","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","54","2","35","true","0.0003995","0.6758525967597961","1599","0.9478826522827148"
"serbo-croatian","0.9390000104904176","799","finished","-","adamits","","2023-12-18T03:54:10.000Z","3300","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","40","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_42","128","128","adam","94","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","108","2","94","true","0.000447493366309618","0.7755601406097412","19999","0.9548245072364808"
"slovak","0.972000002861023","799","finished","-","adamits","","2023-12-18T02:32:37.000Z","2757","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","19","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_28","128","128","adam","68","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","87","2","68","true","0.000447493366309618","0.7406406402587891","19999","0.803421139717102"
"slovene","0.9869999885559082","799","finished","-","adamits","","2023-12-18T02:35:27.000Z","3129","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","35","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_29","128","128","adam","62","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","95","2","62","true","0.000447493366309618","0.7291142344474792","19999","0.7565644979476929"
"sorani","0.9179999828338624","799","finished","-","adamits","","2023-12-18T03:04:25.000Z","2974","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","38","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_33","128","128","adam","40","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","78","2","40","true","0.000447493366309618","0.6832056045532227","19999","0.8373546600341797"
"spanish","0.975000023841858","799","finished","-","adamits","","2023-12-18T02:58:00.000Z","3243","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","27","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_31","128","128","adam","38","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","60","2","38","true","0.000447493366309618","0.6739486455917358","19999","0.7368957996368408"
"swedish","0.9229999780654908","799","finished","-","adamits","","2023-12-18T03:00:15.000Z","3533","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","27","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_32","128","128","adam","59","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","86","2","59","true","0.000447493366309618","0.7258657217025757","19999","0.8755829334259033"
"turkish","0.9860000014305116","799","finished","-","adamits","","2023-12-18T03:30:35.000Z","3581","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","40","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_38","128","128","adam","59","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","98","2","59","true","0.000447493366309618","0.7235560417175293","19999","0.7518900632858276"
"ukrainian","0.959999978542328","799","finished","-","adamits","","2023-12-18T03:07:03.000Z","3033","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_34","128","128","adam","41","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","72","2","41","true","0.000447493366309618","0.683454692363739","19999","0.7501276731491089"
"urdu","0.996999979019165","799","finished","-","adamits","","2023-12-18T03:08:13.000Z","3295","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_35","128","128","adam","43","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","74","2","43","true","0.000447493366309618","0.6861347556114197","19999","0.6958686709403992"
"welsh","1","799","finished","-","adamits","","2023-12-18T03:18:46.000Z","2004","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","22","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_36","128","128","adam","31","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","47","2","31","true","0.000447493366309618","0.6497802138328552","19999","0.6606094837188721"
