"Name","val_accuracy.max","epoch","State","Notes","User","Tags","Created","Runtime","Sweep","arch","beam_width","beta1","beta2","bidirectional","decoder_layers","dropout","embedding_size","encoder_layers","end_idx","features_attention_heads","features_vocab_size","hidden_size","label_smoothing","learning_rate","local_run_dir","max_source_length","max_target_length","optimizer","output_size","pad_idx","scheduler","scheduler_kwargs/check_val_every_n_epoch","scheduler_kwargs/end_factor","scheduler_kwargs/min_learning_rate","scheduler_kwargs/reduceonplateau_factor","scheduler_kwargs/reduceonplateau_mode","scheduler_kwargs/reduceonplateau_patience","scheduler_kwargs/start_factor","scheduler_kwargs/total_decay_steps","scheduler_kwargs/warmup_steps","source_attention_heads","source_vocab_size","start_idx","target_vocab_size","teacher_forcing","val_out","lr-Adam","train_loss","trainer/global_step","val_loss"
"arabic","0.9700000286102296","799","finished","-","adamits","","2023-12-16T03:15:08.000Z","4600","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_1","128","128","adam","50","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","83","2","50","true","validation_preds","0.000447493366309618","0.7118718028068542","19999","0.8212369680404663"
"khaling","0.9679999947547911","799","finished","-","adamits","","2023-12-16T06:08:46.000Z","4370","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","30","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_24","128","128","adam","36","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","60","2","36","true","validation_preds","0.000447493366309618","0.6677995324134827","19999","0.8099680542945862"
"finnish","0.9629999995231628","799","finished","-","adamits","","2023-12-16T04:39:34.000Z","4338","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","41","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_13","128","128","adam","56","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","96","2","56","true","validation_preds","0.000447493366309618","0.7286329865455627","19999","0.8163532018661499"
"portuguese","0.9869999885559082","799","finished","-","adamits","","2023-12-16T07:37:41.000Z","3651","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","26","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_33","128","128","adam","43","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","64","2","43","true","validation_preds","0.000447493366309618","0.6928397417068481","19999","0.746338963508606"
"turkish","0.9800000190734864","799","finished","-","adamits","","2023-12-16T08:47:18.000Z","5184","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","40","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_42","128","128","adam","59","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","98","2","59","true","validation_preds","0.000447493366309618","0.7317737936973572","19999","0.7871973514556885"
"scottish-gaelic","0.36000001430511475","799","finished","-","adamits","","2023-12-19T15:33:50.000Z","620","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","21","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_52","128","128","adam","35","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","54","2","35","true","validation_preds","0.0003995","0.7018452286720276","1599","1.9236953258514404"
"hungarian","0.8730000257492065","799","finished","-","adamits","","2023-12-16T05:30:25.000Z","3634","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","39","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_20","128","128","adam","61","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","100","2","61","true","validation_preds","0.000447493366309618","0.7408367395401001","19999","0.91310054063797"
"albanian","0.944000005722046","799","finished","-","adamits","","2023-12-16T02:49:22.000Z","3541","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","31","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_0","128","128","adam","33","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","63","2","33","true","validation_preds","0.000447493366309618","0.6603431701660156","19999","0.8171358704566956"
"lithuanian","0.9610000252723694","799","finished","-","adamits","","2023-12-16T06:31:11.000Z","4358","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","38","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_28","128","128","adam","62","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","79","2","62","true","validation_preds","0.000447493366309618","0.7421160936355591","19999","0.8545005917549133"
"urdu","0.9879999756813048","799","finished","-","adamits","","2023-12-16T09:06:46.000Z","4979","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_44","128","128","adam","43","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","74","2","43","true","validation_preds","0.000447493366309618","0.6879794597625732","19999","0.7483896017074585"
