Name,val_accuracy.max,hidden_size,decoder_layers,embedding_size,source_attention_heads,scheduler_kwargs/warmup_steps,State,Notes,User,Tags,Created,Runtime,Sweep,arch,beam_width,beta1,beta2,bidirectional,dropout,encoder_layers,end_idx,features_attention_heads,features_vocab_size,label_smoothing,learning_rate,local_run_dir,max_source_length,max_target_length,optimizer,output_size,pad_idx,scheduler,scheduler_kwargs/check_val_every_n_epoch,scheduler_kwargs/end_factor,scheduler_kwargs/min_learning_rate,scheduler_kwargs/reduceonplateau_factor,scheduler_kwargs/reduceonplateau_mode,scheduler_kwargs/reduceonplateau_patience,scheduler_kwargs/start_factor,scheduler_kwargs/total_decay_steps,source_encoder_cls,source_vocab_size,start_idx,target_vocab_size,teacher_forcing,epoch,lr-Adam,train_loss,trainer/global_step,val_loss
german-train-high,0.9169999957084660,512,4,512,8,2000,finished,-,adamits,,2024-01-30T06:31:07.000Z,5221,,transformer,1,0.9,0.98,TRUE,0.3,4,3,1,22,0.1,0.001,/rc_scratch/adwi9965/ed-results/german-train-high-sweep/sig-2017-inflection-ed-deu-sweep/version_96,128,128,adam,71,1,warmupinvsqrt,16,1,0,0.1,loss,10,0.3333333333333330,5,TransformerEncoder,91,2,71,TRUE,799,0.0003164255938535270,0.746077299118042,19999,0.8541479706764220
german-train-high,0.8999999761581420,256,2,512,2,2000,finished,-,adamits,,2024-01-30T02:24:57.000Z,3417,,transformer,1,0.9,0.98,TRUE,0.3,2,3,1,22,0.1,0.001,/rc_scratch/adwi9965/ed-results/german-train-high-sweep/sig-2017-inflection-ed-deu-sweep/version_67,128,128,adam,71,1,warmupinvsqrt,16,1,0,0.1,loss,10,0.3333333333333330,5,TransformerEncoder,91,2,71,TRUE,799,0.0003164255938535270,0.7801758050918580,19999,0.8685910701751710
german-train-high,0.8989999890327450,512,2,512,2,2000,finished,-,adamits,,2024-01-30T04:53:25.000Z,3610,,transformer,1,0.9,0.98,TRUE,0.3,2,3,1,22,0.1,0.001,/rc_scratch/adwi9965/ed-results/german-train-high-sweep/sig-2017-inflection-ed-deu-sweep/version_85,128,128,adam,71,1,warmupinvsqrt,16,1,0,0.1,loss,10,0.3333333333333330,5,TransformerEncoder,91,2,71,TRUE,799,0.0003164255938535270,0.76805180311203,19999,0.8845736980438230
german-train-high,0.9020000100135800,256,2,512,4,2000,finished,-,adamits,,2024-01-30T02:29:09.000Z,3350,,transformer,1,0.9,0.98,TRUE,0.3,2,3,1,22,0.1,0.001,/rc_scratch/adwi9965/ed-results/german-train-high-sweep/sig-2017-inflection-ed-deu-sweep/version_69,128,128,adam,71,1,warmupinvsqrt,16,1,0,0.1,loss,10,0.3333333333333330,5,TransformerEncoder,91,2,71,TRUE,799,0.0003164255938535270,0.7556971311569210,19999,0.8637998104095460
german-train-high,0.8420000076293950,512,2,64,2,2000,finished,-,adamits,,2024-01-29T20:05:39.000Z,2620,,transformer,1,0.9,0.98,TRUE,0.3,2,3,1,22,0.1,0.001,/rc_scratch/adwi9965/ed-results/german-train-high-sweep/sig-2017-inflection-ed-deu-sweep/version_29,128,128,adam,71,1,warmupinvsqrt,16,1,0,0.1,loss,10,0.3333333333333330,5,TransformerEncoder,91,2,71,TRUE,799,0.0003164255938535270,0.9024945497512820,19999,0.959649384021759
german-train-high,0.9110000133514400,1024,8,64,8,4000,finished,-,adamits,,2024-01-30T17:53:32.000Z,3918,,transformer,1,0.9,0.98,TRUE,0.3,8,3,1,22,0.1,0.001,/rc_scratch/adwi9965/ed-results/german-train-high-sweep/sig-2017-inflection-ed-deu-sweep/version_129,128,128,adam,71,1,warmupinvsqrt,16,1,0,0.1,loss,10,0.3333333333333330,5,TransformerEncoder,91,2,71,TRUE,799,0.000447493366309618,0.7549289464950560,19999,0.8455417156219480
german-train-high,0.9139999747276310,1024,4,128,4,4000,finished,-,adamits,,2024-01-30T20:06:59.000Z,3033,,transformer,1,0.9,0.98,TRUE,0.3,4,3,1,22,0.1,0.001,/rc_scratch/adwi9965/ed-results/german-train-high-sweep/sig-2017-inflection-ed-deu-sweep/version_144,128,128,adam,71,1,warmupinvsqrt,16,1,0,0.1,loss,10,0.3333333333333330,5,TransformerEncoder,91,2,71,TRUE,799,0.000447493366309618,0.7532525062561040,19999,0.8505145907402040
german-train-high,0.8690000176429750,1024,2,64,8,4000,finished,-,adamits,,2024-01-31T10:42:19.000Z,2738,,transformer,1,0.9,0.98,TRUE,0.3,2,3,1,22,0.1,0.001,/rc_scratch/adwi9965/ed-results/german-train-high-sweep/sig-2017-inflection-ed-deu-sweep/version_266,128,128,adam,71,1,warmupinvsqrt,16,1,0,0.1,loss,10,0.3333333333333330,5,TransformerEncoder,91,2,71,TRUE,799,0.000447493366309618,0.8246137499809270,19999,0.908789873123169
german-train-high,0.921999990940094,512,8,256,8,4000,finished,-,adamits,,2024-01-30T23:46:43.000Z,4965,,transformer,1,0.9,0.98,TRUE,0.3,8,3,1,22,0.1,0.001,/rc_scratch/adwi9965/ed-results/german-train-high-sweep/sig-2017-inflection-ed-deu-sweep/version_175,128,128,adam,71,1,warmupinvsqrt,16,1,0,0.1,loss,10,0.3333333333333330,5,TransformerEncoder,91,2,71,TRUE,799,0.000447493366309618,0.7442439198493960,19999,0.8426206111907960
german-train-high,0.8999999761581420,512,2,256,2,4000,finished,-,adamits,,2024-01-31T00:37:37.000Z,2698,,transformer,1,0.9,0.98,TRUE,0.3,2,3,1,22,0.1,0.001,/rc_scratch/adwi9965/ed-results/german-train-high-sweep/sig-2017-inflection-ed-deu-sweep/version_183,128,128,adam,71,1,warmupinvsqrt,16,1,0,0.1,loss,10,0.3333333333333330,5,TransformerEncoder,91,2,71,TRUE,799,0.000447493366309618,0.7864381074905400,19999,0.8732948899269100
